filename,label,label_idx,image num
Image_1.jpg,sitting,11,1
Image_2.jpg,using_laptop,14,2
Image_3.jpg,hugging,7,3
Image_4.jpg,sleeping,12,4
Image_5.jpg,using_laptop,14,5
Image_6.jpg,sleeping,12,6
Image_7.jpg,drinking,4,7
Image_8.jpg,hugging,7,8
Image_9.jpg,clapping,1,9
Image_10.jpg,dancing,3,10
Image_11.jpg,cycling,2,11
Image_12.jpg,drinking,4,12
Image_13.jpg,clapping,1,13
Image_14.jpg,calling,0,14
Image_15.jpg,sleeping,12,15
Image_16.jpg,drinking,4,16
Image_17.jpg,calling,0,17
Image_18.jpg,laughing,8,18
Image_19.jpg,using_laptop,14,19
Image_20.jpg,using_laptop,14,20
Image_21.jpg,clapping,1,21
Image_22.jpg,eating,5,22
Image_23.jpg,fighting,6,23
Image_24.jpg,listening_to_music,9,24
Image_25.jpg,dancing,3,25
Image_26.jpg,drinking,4,26
Image_27.jpg,cycling,2,27
Image_28.jpg,laughing,8,28
Image_29.jpg,drinking,4,29
Image_30.jpg,dancing,3,30
Image_31.jpg,listening_to_music,9,31
Image_32.jpg,cycling,2,32
Image_33.jpg,sitting,11,33
Image_34.jpg,sitting,11,34
Image_35.jpg,sleeping,12,35
Image_36.jpg,eating,5,36
Image_37.jpg,running,10,37
Image_38.jpg,running,10,38
Image_39.jpg,hugging,7,39
Image_40.jpg,hugging,7,40
Image_41.jpg,calling,0,41
Image_42.jpg,using_laptop,14,42
Image_43.jpg,listening_to_music,9,43
Image_44.jpg,cycling,2,44
Image_45.jpg,sleeping,12,45
Image_46.jpg,hugging,7,46
Image_47.jpg,texting,13,47
Image_48.jpg,sleeping,12,48
Image_49.jpg,using_laptop,14,49
Image_50.jpg,running,10,50
Image_51.jpg,hugging,7,51
Image_52.jpg,calling,0,52
Image_53.jpg,using_laptop,14,53
Image_54.jpg,drinking,4,54
Image_55.jpg,hugging,7,55
Image_56.jpg,cycling,2,56
Image_57.jpg,laughing,8,57
Image_58.jpg,calling,0,58
Image_59.jpg,clapping,1,59
Image_60.jpg,laughing,8,60
Image_61.jpg,texting,13,61
Image_62.jpg,sitting,11,62
Image_63.jpg,laughing,8,63
Image_64.jpg,using_laptop,14,64
Image_65.jpg,sleeping,12,65
Image_66.jpg,listening_to_music,9,66
Image_67.jpg,cycling,2,67
